sample	hap	IGK	TCRG	TCRB	TCRAD	IGH	IGL
HG03248	hap2	0.490366363907725	0.903857740841995	0.877156818026279	0.686561432994454	0.0484676126401047	0.152888913935857
HG03248	hap1	0.929915090835676	0.903857740841995	0.877156818026279	0.346417812609958	0.0484676126401047	0.708706747044953
NA18939	hap1	0.00195605636152003	0.903857740841995	0.336151814155422	0.686561432994454	0.732391875120309	0.495103469420868
NA18939	hap2	0.607375815528078	0.0621075387391652	0.336151814155422	0.346417812609958	0.635710732662755	0.152888913935857
NA19650	hap1	0.929915090835676	0.104386871556386	0.336151814155422	0.346417812609958	0.247029162500494	0.495103469420868
NA19650	hap2	0.0125939404006216	0.903857740841995	0.203748061505978	0.686561432994454	0.197274943573327	0.495103469420868
HG02587	hap1	0.0583212585611183	0.104386871556386	0.203748061505978	0.686561432994454	0.94747382825216	0.708706747044953
HG02587	hap2	0.264594476193992	0.104386871556386	0.877156818026279	0.686561432994454	0.635710732662755	0.708706747044953
HG00732	hap2	0.607375815528078	0.903857740841995	0.877156818026279	0.346417812609958	0.635710732662755	0.495103469420868
HG00732	hap1	0.264594476193992	0.903857740841995	0.336151814155422	0.346417812609958	0.453392937675049	0.000118292669152372
NA24385	hap2	0.607375815528078	0.903857740841995	0.877156818026279	0.346417812609958	0.453392937675049	0.495103469420868
NA24385	hap1	0.607375815528078	0.903857740841995	0.877156818026279	0.346417812609958	0.732391875120309	0.495103469420868
HG03683	hap1	0.607375815528078	0.104386871556386	0.877156818026279	0.686561432994454	0.732391875120309	0.495103469420868
HG03683	hap2	0.490366363907725	0.903857740841995	0.336151814155422	0.346417812609958	0.732391875120309	0.495103469420868
HG00512	hap2	0.929915090835676	0.903857740841995	0.877156818026279	0.686561432994454	0.378031383778757	0.495103469420868
HG00512	hap1	0.929915090835676	0.0621075387391652	0.203748061505978	0.686561432994454	0.94747382825216	0.495103469420868
