sample	total_contigs
HG00096	130
HG00171	193
HG00268	120
HG00358	106
HG00512	383
HG00513	155
HG00514	252
HG00731	88
HG00732	204
HG00733	115
HG00864	97
HG01114	322
HG01352	179
HG01457	100
HG01505	202
HG01573	159
HG01596	145
HG01890	129
HG02011	143
HG02018	135
HG02059	159
HG02106	125
HG02282	219
HG02492	209
HG02554	258
HG02587	105
HG02666	103
HG02769	352
HG02818	238
HG02953	174
HG03009	92
HG03065	168
HG03248	174
HG03371	85
HG03452	288
HG03456	321
HG03520	215
HG03683	118
HG03732	140
HG03807	141
HG04036	129
HG04217	142
NA12329	114
NA18534	182
NA18939	188
NA18989	210
NA19036	127
NA19129	106
NA19238	183
NA19239	118
NA19240	139
NA19317	88
NA19331	192
NA19347	110
NA19384	209
NA19434	175
NA19650	104
NA19705	107
NA19836	178
NA19983	130
NA20355	168
NA20509	139
NA20847	175
NA21487	199
NA24385	127
