url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/008/ERR11028108/ERR11028108.fastq.gz	9346ef4592baa6f32c39dce15e89937b	Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic	HG00096	British in England and Scotland	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/049/ERR13491749/ERR13491749.fastq.gz	751b3f5ebf6b9c2f77ead3ede8464014	Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic	HG00171	Finnish in Finland	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/052/ERR13491752/ERR13491752.fastq.gz	c60715e13ce9fb5f07ae4d2a6487e3b8	Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic	HG00171	Finnish in Finland	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/057/ERR13491757/ERR13491757.fastq.gz	82f999868d48ee759515454eefb61a9b	Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic	HG00171	Finnish in Finland	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/095/ERR12954395/ERR12954395.fastq.gz	c7d48ce4e8a8314d55020189d7fd169e	Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic	HG00268	Finnish in Finland	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/025/ERR10966425/ERR10966425.fastq.gz	011ba620c8650af7102009b3028031d6	Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic	HG00358	Finnish in Finland	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
ftp.sra.ebi.ac.uk/vol1/fastq/ERR110/002/ERR11028102/ERR11028102.fastq.gz	f7661ec09406ccd8feaaa1ab150bb0c3	Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic	HG00358	Finnish in Finland	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10966386/ERR10966386.fastq.gz	c431a677a2c5d26cc72fc8132d1abb35	Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic	HG00512	Han Chinese South	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
ftp.sra.ebi.ac.uk/vol1/fastq/SRR136/091/SRR13606091/SRR13606091_subreads.fastq.gz		Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic			https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/009/ERR13110509/ERR13110509.fastq.gz	36118cc47e927dc4c6ce152625737193	Human Genome Structural Variation Consortium, Phase 3	sequence	PacBio SMRT genomic	HG00513	Han Chinese South	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/README_HGSVC3_datareuse_statement.md
