sample	hap	IGK	TCRG	TCRB	TCRAD	IGH	IGL
HG03248	hap2	846524	455771	659395	1109722		1173137
HG03248	hap1	1509985	455508	659471	1110976		1112901
NA18939	hap1	57182	456064	638079	1109996	1217477	1174128
NA18939	hap2	977244	453442	637957	1110960	863454	1189355
NA19650	hap1	1304723	413186	638385	1110660	253782	1173318
NA19650	hap2	220368	443956	681183	1109954	1291129	1189753
HG02587	hap1	1423229	413538	681225	1111703	848061	1183024
HG02587	hap2	1446267	404363	639088	1111026	730507	632217
HG00732	hap2	1281483	444467	681488	1110254	823517	1138240
HG00732	hap1	1344135	453150	680341	1112848	628227	1125412
NA24385	hap2	1229290	456107	680002	1113465	1011960	1035521
NA24385	hap1	1171245	407415	670742	1047689	451349	1171712
HG03683	hap1	1723527	413494	638077	1112203	1323623	1184893
HG03683	hap2	1331636	452496	658275	1110539	883295	1174046
HG00512	hap2	815333	455111	639400	1111920	1075839	1193825
HG00512	hap1	1416860	455379	619435	1110502	969269	1185594
HG02818	hap2	1376056	460527	659779	1112348	739122	650220
HG02818	hap1	1061046	457399	658874	1112202	800803	1186898
HG04036	hap1	1368387	452561	638103	1109634	902303	1157599
HG04036	hap2	1407466	452529	658501	1110434	479875	1179829
HG00733	hap1	1232396	444467	681486	1112843	1114285	1183227
HG00733	hap2	1193133	448332	639639	1109960	856338	1176870
NA19317	hap1	1286421	455567	660402	1110383	950057	1164811
NA19317	hap2	1397964	413994	658699	1112463	636844	1167941
HG00864	hap1	1207307	452772	639324	1109800	143147	1185618
HG00864	hap2	832968	452585	637912	1112129	947480	643344
HG00513	hap1	1222794	453438	637839	1110452	91319	1166376
HG00513	hap2	1243058	452405	637793	1110756	704204	1173716
NA12329	hap2	1526606	453353	639618	1110072	743233	1176840
NA12329	hap1	1140182	444105	680012	1111573	1146774	964166
NA19983	hap1	1461864	446973	681407	1109525		1183095
NA19983	hap2	1427291	453204	659470	1112318	1081618	1168108
HG02492	hap2	383105	437194	638224	1109749	863582	1168131
HG02492	hap1	1399192	452679	659445	1111342	505197	1166142
NA19331	hap2	1237904	420894	659471	1112535	543886	1160592
NA19331	hap1	1215577	446542	680904	1102268	855972	1162291
HG03452	hap1	1260106	455116	659719	1113623	852954	1015141
HG03452	hap2	1414351	460477	681225	1112502	557429	1183129
HG03371	hap1	1395972	407357	661071	1109812	312084	1167101
HG03371	hap2	1376672	443710	659689	1110528	1137077	1180416
NA19434	hap1	1586000	416370	659592	1111071	996737	
NA19434	hap2	1405568	456909	659754	1111474	754476	
HG03732	hap1	1365906	452460	638030	1112143	1128160	1165870
HG03732	hap2	1393344	452466	638052	1110032	1208128	1168225
HG01114	hap1	1283672	453584	681641	1113175	1267565	1176703
HG01114	hap2	1416035	453658	681292	1109711	468773	1187806
HG02011	hap2	1314450	452801	639331	1102346		1172267
HG02011	hap1	1526252	416867	658322	1111231	1294802	1177087
