sample	hap	IGK	TCRG	TCRB	TCRAD	IGH	IGL
HG03248	hap2	5	2	2	3	0	2
HG03248	hap1	6	2	2	2	0	3
NA18939	hap1	1	2	3	3	4	4
NA18939	hap2	7	1	3	2	6	2
NA19650	hap1	6	3	3	2	2	4
NA19650	hap2	2	2	1	3	8	4
HG02587	hap1	3	3	1	3	5	3
HG02587	hap2	8	3	2	3	6	3
HG00732	hap2	7	2	2	2	6	4
HG00732	hap1	8	2	3	2	3	7
NA24385	hap2	7	2	2	2	3	4
NA24385	hap1	7	2	2	2	4	4
HG03683	hap1	7	3	2	3	4	4
HG03683	hap2	5	2	3	2	4	4
HG00512	hap2	6	2	2	3	7	4
HG00512	hap1	6	1	1	3	5	4
HG02818	hap2	8	2	2	4	5	4
HG02818	hap1	5	2	4	2	8	3
HG04036	hap1	7	1	3	4	6	3
HG04036	hap2	4	2	3	2	2	3
HG00733	hap1	5	2	2	2	6	3
HG00733	hap2	6	3	2	4	5	4
NA19317	hap1	7	2	2	3	8	4
NA19317	hap2	3	3	2	2	4	2
HG00864	hap1	8	1	2	3	3	4
HG00864	hap2	6	1	3	3	6	5
HG00513	hap1	9	2	4	2	2	3
HG00513	hap2	7	2	4	2	4	4
NA12329	hap2	6	2	2	4	4	4
NA12329	hap1	6	2	2	4	4	4
NA19983	hap1	3	2	1	3	0	3
NA19983	hap2	6	3	1	2	9	4
HG02492	hap2	4	2	4	3	2	4
HG02492	hap1	6	1	1	3	3	4
NA19331	hap2	8	2	1	2	4	5
NA19331	hap1	5	2	1	2	6	4
HG03452	hap1	8	2	1	1	5	5
HG03452	hap2	8	2	1	2	4	4
HG03371	hap1	7	2	1	3	4	4
HG03371	hap2	5	3	2	2	8	4
NA19434	hap1	6	2	2	2	10	0
NA19434	hap2	9	1	2	4	8	0
HG03732	hap1	9	3	3	3	6	4
HG03732	hap2	5	2	3	4	5	4
HG01114	hap1	7	2	1	3	3	3
HG01114	hap2	6	1	1	3	2	2
HG02011	hap2	5	2	2	3	0	2
HG02011	hap1	6	2	2	2	9	3
NA20847	hap2	6	3	2	4	2	3
NA20847	hap1	5	2	2	3	2	4
HG02666	hap2	8	3	1	2	6	4
HG02666	hap1	5	2	1	2	9	3
HG03065	hap2	7	2	1	2	5	3
HG03065	hap1	5	3	1	4	7	5
HG01352	hap2	8	2	2	3	4	3
HG01352	hap1	8	2	4	2	5	3
HG00358	hap2	8	1	2	2	0	3
HG00358	hap1	1	1	2	3	7	3
HG02769	hap2	7	2	3	2	8	5
HG02769	hap1	4	2	1	2	10	3
NA19240	hap1	6	3	2	3	9	3
NA19240	hap2	4	2	1	2	4	2
HG03456	hap2	4	3	1	4	8	3
HG03456	hap1	6	2	1	3	5	3
NA18534	hap1	7	1	3	3	6	3
NA18534	hap2	6	2	3	2	4	4
NA21487	hap2	5	2	1	3	8	3
NA21487	hap1	8	2	1	3	8	3
HG01505	hap1	8	2	2	4	6	3
HG01505	hap2	7	2	2	4	4	4
HG01596	hap1	5	2	2	2	4	4
HG01596	hap2	8	2	2	3	5	3
NA19705	hap2	3	3	3	2	8	2
NA19705	hap1	7	2	2	2	8	6
HG00731	hap1	4	2	2	4	5	4
HG00731	hap2	9	3	2	2	7	3
HG02953	hap1	7	3	3	2	6	3
HG02953	hap2	5	2	2	2	5	4
NA18989	hap2	6	3	3	2	9	4
NA18989	hap1	8	1	1	2	0	3
HG04217	hap2	8	3	3	2	6	3
HG04217	hap1	7	3	3	2	3	3
HG02018	hap1	8	2	3	2	3	4
HG02018	hap2	7	2	2	2	2	3
HG03009	hap1	9	2	3	3	4	4
HG03009	hap2	8	2	2	3	5	4
HG00514	hap2	5	2	4	2	4	4
HG00514	hap1	6	2	3	3	6	3
HG03520	hap1	5	2	2	3	4	3
HG03520	hap2	4	2	3	3	1	5
NA19347	hap2	4	1	1	4	3	2
NA19347	hap1	7	2	2	2	6	2
HG00171	hap1	8	2	4	3	0	3
HG00171	hap2	7	2	2	4	1	4
HG02106	hap2	5	1	4	3	6	3
HG02106	hap1	5	2	2	1	3	3
NA19129	hap2	7	1	2	2	2	2
NA19129	hap1	3	3	2	2	5	3
NA19036	hap2	8	2	2	3	4	2
NA19036	hap1	5	2	2	3	5	2
NA19239	hap2	6	3	2	3	3	3
NA19239	hap1	4	2	2	2	10	3
NA20355	hap1	6	2	2	3	7	2
NA20355	hap2	6	2	2	4	5	4
HG03807	hap2	5	1	2	2	7	4
HG03807	hap1	7	2	3	4	2	3
NA19384	hap2	3	2	3	3	9	5
NA19384	hap1	6	2	3	3	7	4
HG01890	hap2	4	2	1	3	8	4
HG01890	hap1	7	2	1	2	6	3
HG01573	hap1	8	2	4	3	5	4
HG01573	hap2	8	3	2	3	4	3
NA19238	hap1	6	2	1	2	3	2
NA19238	hap2	6	2	1	2	7	3
HG00096	hap1	6	3	1	3	6	3
HG00096	hap2	8	2	2	2	6	3
HG00268	hap1	8	2	2	4	4	3
HG00268	hap2	5	3	2	3	1	3
HG02282	hap2	6	3	1	3	4	3
HG02282	hap1	5	2	2	2	0	3
NA20509	hap1	5	2	4	4	3	3
NA20509	hap2	8	2	1	3	5	3
HG02554	hap2	7	2	2	3	8	4
HG02554	hap1	8	2	4	3	6	3
NA19836	hap1	7	2	3	2	6	3
NA19836	hap2	6	2	1	2	5	3
HG02059	hap1	6	1	3	3	0	4
HG02059	hap2	6	2	3	4	3	2
HG01457	hap2	7	2	3	3	5	3
HG01457	hap1	7	2	2	3	5	3
